Activity Name,SASB CODE,SASB SECTOR NAME,ISIC Unique Code,ISIC Section,Industry,Ecosystem Service,Dependency Type,Severity,Impact Driver,Impact Rating,Combined Risk Level,Primary Environmental Assets,Ecosystem Service,TNFD Metric Code(s),Why This Metric Applies,Recommended Unit,TNFD Metric,TNFD Metric Code(s),Recommended Unit,,,,,
"Apparel, Accessories & Footwear",CG-AA-250,Consumer Goods,C_14_141,Manufacturing,"Apparel, Accessories & Footwear",Water supply,Water,H,Water use,H,H,"Water, Soil, Forests, Atmosphere",Air Filtration,A.9 / C3.1,Air pollutant removal & air quality regulation,"Tonnes / year (NOx, SOx, PM, etc.)",Total Spatial Footprint,C1.0,km² or hectares (ha),,,,,
Appliance Manufacturing,CG-AM-250,Consumer Goods,C_27_273,Manufacturing,"Apparel, Accessories & Footwear",Water purification,Water,H,GHG emissions,M,H,"Atmosphere, Soil, Water",Biomass provisioning,A.2 / C1.0,Land productivity & biological resource output,Km² or Hectares (ha),Land/Water/Ocean Use Change,C1.1,km²/year or ha/year,,,,,"Area converted, disturbed, restored, or sealed"
Building Products & Furnishings,CG-BF-130,Consumer Goods,C_23_239,Manufacturing,"Apparel, Accessories & Footwear",Global climate regulation,Climate,M,GHG emissions,H,H,"Forests, Soil, Atmosphere","Education, scientific & research services",A.11 / C5.1,Presence of ecologically important / protected areas,Km² or Hectares (ha) in Protected / Sensitive Areas,Pollutants Released/Removal,C2.0-2.3,tonnes/year,,,,,"Nutrients (N, P), chemical discharge, pollutant load removed"
E-Commerce,CG-EC-130,Consumer Goods,G_47_479,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Apparel, Accessories & Footwear",Air Filtration,Climate,M,GHG emissions,M,M,"Atmosphere, Urban environment, Waste systems",Flood mitigation services,A.12 / C5.0,Ecosystem condition supports flood buffering,Ecosystem condition index score (%) or qualitative rating,Non-GHG Air Pollutants,C2.4,tonnes/year,,,,,"NOx, SOx, PM, VOCs, ammonia"
Household & Personal Products,CG-HP-140,Consumer Goods,C_20_202,Manufacturing,"Apparel, Accessories & Footwear",Soil and sediment retention,Water,M,Water pollutants,H,H,"Water, Soil, Atmosphere",Genetic material,A.13 / C5.2,Species diversity & extinction risk,% species at risk or IUCN Red List category count,Water Withdrawal/Consumption,C3.0,m³/year,,,,,Total water withdrawn and consumed
Multiline & Specialty Retailers & Distributors,CG-MR-130,Consumer Goods,G_47_478,Wholesale and retail trade; repair of motor vehicles and motorcycles,Appliance Manufacturing,Water supply,Water,M,Solid waste,M,M,"Atmosphere, Waste systems",Global climate regulation,A.1,GHG emissions & carbon regulation,tCO₂e/year,High-Risk Commodities,C3.1,% sourced OR tonnes/year,,,,,"Volume or % of commodities linked to nature risk (e.g., palm oil, soy, timber)"
Toys & Sporting Goods,CG-TS-250,Consumer Goods,C_32_324,Manufacturing,Appliance Manufacturing,Water purification,Water,M,Solid waste,M,M,"Forests, Soil, Atmosphere",Local (micro & meso) climate regulation,A.2 / C1.0,Vegetation & land cover regulate local climate,Km² or Hectares (vegetative cover area),Invasive Species,C4.0,# incidents OR % operations affected,,,,,Introduction/spread risk events
Coal Operations,EM-CO-110,Extractives & Minerals Processing,B_5_51,Mining and quarrying,Appliance Manufacturing,Global climate regulation,Climate,M,GHG emissions,VH,H,"Soil, Water, Atmosphere, Biodiversity",Pollination,A.13 / C5.2,Pollinator species survival risk,% pollinator species at risk / species count,State of Nature (Ecosystem + Species combined),C5.0,"ecosystem condition index (%), score, or qualitative rating",,,,,Habitat integrity & ecosystem health
Construction Materials,EM-CM-110,Extractives & Minerals Processing,C_23_239,Manufacturing,Building Products & Furnishings,Water supply,Water,H,GHG emissions,H,H,"Soil, Atmosphere, Water",Rainfall pattern regulation,"A.1, A.2 / C1.0",Climate regulation & land cover influence rainfall cycles,tCO₂e/year + km² land cover,State of Nature - Species,C5.0,# species affected OR % threatened species,,,,,Species status & biodiversity risk
Iron & Steel Producers,EM-IS-110,Extractives & Minerals Processing,C_24_241,Manufacturing,Building Products & Furnishings,Soil and sediment retention,Water,H,GHG emissions,VH,VH,"Atmosphere, Water, Soil",Recreation related services,A.11 / C5.1,Biodiversity-rich & protected natural areas,Km² protected area or number of sites (#),Assets at Transition Risk,C7.0,monetary value (USD or local currency),,,,,Asset value exposed to policy/market transition risks
