Sector,Sub-Industry,Production process,Impact driver,Rating
Industrials,Airlines,Airport services,Disturbances,H
Industrials,Airlines,Airport services,Freshwater ecosystem use,ND
Industrials,Airlines,Airport services,GHG emissions,VH
Industrials,Airlines,Airport services,Marine ecosystem use,ND
Industrials,Airlines,Airport services,Non-GHG air pollutants,H
Industrials,Airlines,Airport services,Other resource use,ND
Industrials,Airlines,Airport services,Soil pollutants,H
Industrials,Airlines,Airport services,Solid waste,H
Industrials,Airlines,Airport services,Terrestrial ecosystem use,ND
Industrials,Airlines,Airport services,Water pollutants,H
Industrials,Airlines,Airport services,Water use,H
Industrials,Airlines,Airport services,Biological interferences/alterations,H
Industrials,Airport Services,Airport services,Disturbances,H
Industrials,Airport Services,Airport services,Freshwater ecosystem use,ND
Industrials,Airport Services,Airport services,GHG emissions,VH
Industrials,Airport Services,Airport services,Marine ecosystem use,ND
Industrials,Airport Services,Airport services,Non-GHG air pollutants,H
Industrials,Airport Services,Airport services,Other resource use,ND
Industrials,Airport Services,Airport services,Soil pollutants,H
Industrials,Airport Services,Airport services,Solid waste,H
Industrials,Airport Services,Airport services,Terrestrial ecosystem use,ND
Industrials,Airport Services,Airport services,Water pollutants,H
Industrials,Airport Services,Airport services,Water use,H
Industrials,Airport Services,Airport services,Biological interferences/alterations,H
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Disturbances,ND
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Freshwater ecosystem use,ND
Consumer Staples,Brewers,Alcoholic fermentation and distilling,GHG emissions,VH
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Marine ecosystem use,ND
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Non-GHG air pollutants,ND
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Other resource use,ND
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Soil pollutants,H
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Solid waste,H
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Terrestrial ecosystem use,ND
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Water pollutants,H
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Water use,H
Consumer Staples,Brewers,Alcoholic fermentation and distilling,Biological interferences/alterations,ND
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Disturbances,ND
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Freshwater ecosystem use,ND
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,GHG emissions,VH
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Marine ecosystem use,ND
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Non-GHG air pollutants,ND
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Other resource use,ND
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Soil pollutants,H
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Solid waste,H
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Terrestrial ecosystem use,ND
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Water pollutants,H
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Water use,H
Consumer Staples,Distillers & Vintners,Alcoholic fermentation and distilling,Biological interferences/alterations,ND
Materials,Aluminum,Alumina refining,Disturbances,ND
Materials,Aluminum,Alumina refining,Freshwater ecosystem use,ND
Materials,Aluminum,Alumina refining,GHG emissions,VH
Materials,Aluminum,Alumina refining,Marine ecosystem use,ND
Materials,Aluminum,Alumina refining,Non-GHG air pollutants,ND
Materials,Aluminum,Alumina refining,Other resource use,ND
Materials,Aluminum,Alumina refining,Soil pollutants,H
Materials,Aluminum,Alumina refining,Solid waste,H
Materials,Aluminum,Alumina refining,Terrestrial ecosystem use,ND
Materials,Aluminum,Alumina refining,Water pollutants,H
Materials,Aluminum,Alumina refining,Water use,VH
Materials,Aluminum,Alumina refining,Biological interferences/alterations,ND
Consumer Staples,Agricultural Products,Aquaculture,Disturbances,ND
